App Downloads per month,Bid Count,Business Model,Buy it Now,Current Price,Ends At,Established at,Industry,Name,Page Views Per Month,Profit Per Month,Revenue Per Month,Sale Method,Starts At,Status,Summary,Title,Type,URL,Uniques Per Month,Verified Revenue,Verified Traffic,Website
0,1,,379,1,07-24-2019,05-31-2019,hobbies-and-games,Crazy Zombies,,,,auction,07-19-2019,open,"Newly released addictive game Ready to make passive income, Admob Integrated, has multiple Levels to keep audience engage in game
","Crazy Zombies - Addicted Game, Promo video, 100+ installs, 30+ levels",android_app,https://flippa.com/10238317-crazy-zombies,,false,false,https://play.google.com/store/apps/details?id=com.askibdgames.CrazyZombies
,0,services,499,1,07-24-2019,06-30-2019,travel,Roomise.com,,,,auction,07-19-2019,open,"Professional Affiliate Marketing Website. HUGE POTENTIAL!!! HOT NICHE, NO RESERVE. No need to have coding skills to run this store. FULLY AUTOMATED! All you have to do is direct traffic and earn! ","Extremely High Potential Travel Website Up to $10,000 A month , No Startup Cost ",starter_site,https://flippa.com/10238314-extremely-high-potential-travel-website-up-to-10-000-a-month-no-startup-cost,,false,false,https://www.roomise.com/
,0,content,119,89,07-22-2019,06-30-2019,electronics,GadgetsDiscover.com,,,,auction,07-19-2019,open,"Premium designed website about Laptops, mobiles, gaming, home entert. and more. No experience needed. Fully automated, runs 100% on autopilot, new articles and videos are being added every few hours.",Fully Automated Gadget News Website - 1 Year Free Hosting BIN + Great Bonuses,starter_site,https://flippa.com/10238313-fully-automated-gadget-news-website-1-year-free-hosting-bin-great-bonuses,,false,false,http://GadgetsDiscover.com/
,0,content,119,89,07-22-2019,06-30-2019,sports-and-outdoor,MMAField.com,,,,auction,07-19-2019,open,"Fully automated MMA News site. No experience needed, new articles &videos are being added automatically every few hours. Earn on ads from Amazon, Clickbank, Ad spaces, banners & Affiliate Programs.","100% Automated, Premium Design, Hot Niche MMA Website, Amazon, Ad Profit",starter_site,https://flippa.com/10238312-100-automated-premium-design-hot-niche-mma-website-amazon-ad-profit,,false,false,http://MMAField.com/
,0,content,119,89,07-22-2019,06-30-2019,food-and-drink,WineBrowsing.com,,,,auction,07-19-2019,open,"Fully automated Wine Guide site. No experience needed, new articles & videos are being added automatically every few hours. Earn on ads from Amazon, Clickbank, Ad spaces & other Affiliate Programs.","Popular Niche WINE Guide and Reviews, Fully Automated, Ad Profit, BIN Hosting",starter_site,https://flippa.com/10238310-popular-niche-wine-guide-and-reviews-fully-automated-ad-profit-bin-hosting,,false,false,http://WineBrowsing.com/
,0,content,119,89,07-22-2019,06-30-2019,business,CryptoAcademies.com,,,,auction,07-19-2019,open,"Fully automated news website about different types of Cryptocurrencies. No experience needed, new articles & videos are being automatically added every few hours. Earn profit on Ads.","100% Automated, Premium Design, Hot Niche CRYPTOCURRENCY Site, Amazon,CB",starter_site,https://flippa.com/10238306-100-automated-premium-design-hot-niche-cryptocurrency-site-amazon-cb,,false,false,http://CryptoAcademies.com/
,0,content,119,89,07-22-2019,06-30-2019,hobbies-and-games,GamingLevel.com,,,,auction,07-19-2019,open,"Premium designed website about everything related to Gaming. Fully automated. No experience needed. Runs 100% on autopilot, new articles and videos are being added every few hours.",Premium Design Gaming News Website - Fully Automated - Amazon & Ad Income,starter_site,https://flippa.com/10238303-premium-design-gaming-news-website-fully-automated-amazon-ad-income,,false,false,http://gaminglevel.com/
,0,content,119,89,07-22-2019,06-30-2019,entertainment,PianoHotspot.com,,,,auction,07-19-2019,open,"100% Newbie Friendly video site – Premium design. Earn on ads from Amazon, AdSense, CB more. Fully automated. No experience needed. Runs 100% on autopilot, new videos are being added every few hours.",Hot Niche Piano Videos- 100% Fully Automated - Ad Income - BIN Bonus,starter_site,https://flippa.com/10238300-hot-niche-piano-videos-100-fully-automated-ad-income-bin-bonus,,false,false,http://PianoHotspot.com/
,0,ecommerce,799,1,07-25-2019,02-28-2019,sports-and-outdoor,FitnessFad.net,,,,auction,07-19-2019,open,"Fully Automated Shopify FITNESS Dropshipping Store - No Skill, Previous Experience needed. Instant purchase option. Please read listing info!",[TOP SELLER]  Premium Shopify FITNESS Site - Great Starter BIN Package Included ,starter_site,https://flippa.com/10238298-top-seller-premium-shopify-fitness-site-great-starter-bin-package-included,,false,false,http://fitnessfad.net/
,0,content,119,89,07-22-2019,06-30-2019,health-and-beauty,WeightlossFinest.com,,,,auction,07-19-2019,open,"Premium designed website with videos about Weight Loss, Dieting and everything related to it. No experience needed. Runs 100% on autopilot, new articles and videos are being added every few hours.",Fully Automated Weight Loss Website - 1 Year Free Hosting BIN + Great Bonuses,starter_site,https://flippa.com/10238296-fully-automated-weight-loss-website-1-year-free-hosting-bin-great-bonuses,,false,false,http://WeightlossFinest.com/
